Benchmark,(baseLong),Mode,Cnt,Score,Error,Units
Factorial_fjb04.evalEmptyLoop,2,thrpt,5,1689.905,8.597,ops/us
Factorial_fjb04.evalEmptyLoop,19,thrpt,5,1691.440,2.703,ops/us
Factorial_fjb04.evalEmptyLoop,20,thrpt,5,1691.224,4.018,ops/us
Factorial_fjb04.evalEmptyLoop,21,thrpt,5,1690.945,5.059,ops/us
Factorial_fjb04.evalEmptyLoop,32,thrpt,5,1690.605,2.132,ops/us
Factorial_fjb04.evalEmptyLoop,64,thrpt,5,1690.599,6.139,ops/us
Factorial_fjb04.evalEmptyLoop,128,thrpt,5,1532.611,9.029,ops/us
Factorial_fjb04.evalEmptyLoop,256,thrpt,5,1639.700,5.203,ops/us
Factorial_fjb04.evalFactorialAsLog10,2,thrpt,5,4.327,0.018,ops/us
Factorial_fjb04.evalFactorialAsLog10,19,thrpt,5,0.433,0.002,ops/us
Factorial_fjb04.evalFactorialAsLog10,20,thrpt,5,0.420,0.002,ops/us
Factorial_fjb04.evalFactorialAsLog10,21,thrpt,5,0.441,0.005,ops/us
Factorial_fjb04.evalFactorialAsLog10,32,thrpt,5,0.260,0.003,ops/us
Factorial_fjb04.evalFactorialAsLog10,64,thrpt,5,0.157,0.001,ops/us
Factorial_fjb04.evalFactorialAsLog10,128,thrpt,5,0.073,0.001,ops/us
Factorial_fjb04.evalFactorialAsLog10,256,thrpt,5,0.037,0.001,ops/us
Factorial_fjb04.evalFactorialBigLongLoopFallbackLog10,2,thrpt,5,34.283,0.436,ops/us
Factorial_fjb04.evalFactorialBigLongLoopFallbackLog10,19,thrpt,5,1.785,0.038,ops/us
Factorial_fjb04.evalFactorialBigLongLoopFallbackLog10,20,thrpt,5,1.644,0.033,ops/us
Factorial_fjb04.evalFactorialBigLongLoopFallbackLog10,21,thrpt,5,0.441,0.001,ops/us
Factorial_fjb04.evalFactorialBigLongLoopFallbackLog10,32,thrpt,5,0.261,0.001,ops/us
Factorial_fjb04.evalFactorialBigLongLoopFallbackLog10,64,thrpt,5,0.157,0.001,ops/us
Factorial_fjb04.evalFactorialBigLongLoopFallbackLog10,128,thrpt,5,0.073,0.001,ops/us
Factorial_fjb04.evalFactorialBigLongLoopFallbackLog10,256,thrpt,5,0.037,0.001,ops/us
Factorial_fjb04.evalFactorialLongStreamFallbackDouble,2,thrpt,5,52.321,1.101,ops/us
Factorial_fjb04.evalFactorialLongStreamFallbackDouble,19,thrpt,5,12.779,0.218,ops/us
Factorial_fjb04.evalFactorialLongStreamFallbackDouble,20,thrpt,5,12.318,0.034,ops/us
Factorial_fjb04.evalFactorialLongStreamFallbackDouble,21,thrpt,5,8.435,0.114,ops/us
Factorial_fjb04.evalFactorialLongStreamFallbackDouble,32,thrpt,5,6.074,0.053,ops/us
Factorial_fjb04.evalFactorialLongStreamFallbackDouble,64,thrpt,5,3.197,0.035,ops/us
Factorial_fjb04.evalFactorialLongStreamFallbackDouble,128,thrpt,5,1.688,0.034,ops/us
Factorial_fjb04.evalFactorialLongStreamFallbackDouble,256,thrpt,5,0.875,0.009,ops/us
